customer_id,customer_name,segment,payment_terms,channel,city,signup_date
1,William Jones,Retail,Immediate,In-Store,Portland,2023-10-22
2,Grace Nguyen,Retail,Immediate,In-Store,Seattle,2025-02-13
3,Hannah Patel,Retail,Immediate,In-Store,Portland,2022-07-01
4,Noah Nelson,Retail,Immediate,In-Store,Portland,2023-06-25
5,Jessica Nelson,Retail,Immediate,In-Store,Tigard,2025-10-08
6,Ashley Wilson,Retail,Immediate,In-Store,Hillsboro,2024-02-03
7,Ashley Lee,Retail,Immediate,In-Store,Portland,2025-01-05
8,David Williams,Retail,Immediate,In-Store,Beaverton,2025-03-20
9,Daniel Nguyen,Retail,Immediate,In-Store,Portland,2024-08-31
10,Andrew Patel,Retail,Immediate,In-Store, eugene,2024-02-11
11,Emma Miller,Retail,Immediate,In-Store,Portland,2025-02-03
12,William Anderson,Retail,Immediate,In-Store,Portland,2023-07-04
13,Grace Thomas,Retail,Immediate,In-Store,Bend,2025-04-17
14,Emily Patel,Retail,Immediate,In-Store,Tigard,2023-05-28
15,Daniel Thomas,Retail,Immediate,In-Store,Beaverton,2025-09-23
16,William Wilson,Retail,Immediate,In-Store,Beaverton,2023-05-20
17,Emily Johnson,Retail,Immediate,In-Store,Portland,2023-02-26
18,Ella Johnson,Retail,Immediate,In-Store,Portland,2025-05-02
19,Chloe Taylor,Retail,Immediate,In-Store,Portland,2024-07-09
20,Joseph Wilson,Retail,Immediate,In-Store,Portland,2024-06-17
21,Daniel Jones,Retail,Immediate,In-Store,Portland,2025-04-17
22,Noah Lee,Retail,Immediate,In-Store,Salem,2025-12-20
23,Isabella Garcia,Retail,Immediate,In-Store,Portland,2025-06-14
24,Lucas Patel,Retail,Immediate,In-Store,Gresham,2025-09-09
25,Mason Smith,Retail,Immediate,In-Store,Vancouver,2024-08-28
26,ROBERT CARTER ,Retail,Immediate,In-Store,Portland,2022-12-08
27,Lucas Davis,Retail,Immediate,In-Store,Portland,2024-12-23
28,Ava Nelson,Retail,Immediate,In-Store, portland,2023-08-21
29,Sophia Taylor,Retail,Immediate,In-Store,Portland,2022-06-04
30,Andrew Kim,Retail,Immediate,In-Store,Portland,2025-08-26
31,Sarah Thomas,Retail,Immediate,In-Store,Portland,2022-12-26
32,Sophia Kim,Retail,Immediate,In-Store, seattle,2024-06-06
33,Robert Lee,Retail,Immediate,In-Store,Portland,2024-04-19
